,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,27,aucune,any
25,28,place,square
26,29,parle,speak
27,30,compris,understood
28,31,savais,knew
29,32,étaient,were
30,33,attention,Warning
31,34,voici,here is
32,35,pourrais,could
33,36,affaire,case
34,38,type,type
35,39,leurs,their
36,40,donné,given
37,41,train,train
38,42,corps,body
39,43,endroit,place
40,44,yeux,eyes
41,45,façon,way
42,46,écoute,listen
43,47,dont,whose
44,48,trouve,find
45,49,premier,first
46,50,perdu,lost
47,51,main,hand
48,52,première,first
49,53,côté,side
50,54,pouvoir,power
51,55,vieux,old
52,56,sois,be
53,57,matin,morning
54,58,tellement,so much
55,59,enfant,child
56,60,point,point
57,61,venu,came
58,62,suite,after
59,63,pardon,sorry
60,64,venez,come
61,65,devant,in front of
62,67,minutes,minutes
63,68,demandé,request
64,69,chambre,bedroom
65,70,mis,placed
66,71,belle,beautiful
67,72,droit,law
68,73,aimerais,would like to
69,74,aujourd'hui,today
70,75,mari,husband
71,76,cause,cause
72,77,enfin,finally
73,78,espère,hope
74,79,eau,water
75,80,attendez,Wait
76,81,parti,left
77,82,nouvelle,new
78,83,boulot,job
79,84,arrêter,Stop
80,85,dirait,would say
81,86,terre,Earth
82,87,compte,account
83,88,donne,given
84,89,loin,far
85,90,fin,end
86,91,croire,believe
87,92,chérie,sweetheart
88,93,gros,large
89,94,plutôt,rather
90,95,filles,girls
91,96,jouer,to play
92,97,bureau,office
